FILE,CELL,N_Q570,N_Q670,N_GFP,dose,normalized_Q570
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_1,108,111,7,0.01,0.972972972972973
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_2,113,123,32,0.01,0.9186991869918699
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_3,13,129,0,0.01,0.10077519379844961
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_4,114,118,15,0.01,0.9661016949152542
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_5,88,132,21,0.01,0.6666666666666666
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_6,19,165,3,0.01,0.11515151515151516
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_7,9,162,0,0.01,0.05555555555555555
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_8,95,76,12,0.01,1.25
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_9,8,99,12,0.01,0.08080808080808081
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_10,64,178,5,0.01,0.3595505617977528
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_11,68,125,17,0.01,0.544
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_12,90,95,6,0.01,0.9473684210526315
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_13,5,177,1,0.01,0.02824858757062147
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_14,133,163,9,0.01,0.8159509202453987
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_15,71,113,5,0.01,0.6283185840707964
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_16,102,124,1,0.01,0.8225806451612904
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_01_R3D_D3D_Q570_outline.txt,Cell_CP_17,130,118,10,0.01,1.1016949152542372
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_1,65,121,10,0.01,0.5371900826446281
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_2,121,61,3,0.01,1.9836065573770492
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_3,3,249,0,0.01,0.012048192771084338
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_4,105,220,13,0.01,0.4772727272727273
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_5,61,64,1,0.01,0.953125
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_6,77,108,7,0.01,0.7129629629629629
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_7,6,137,2,0.01,0.043795620437956206
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_8,104,119,7,0.01,0.8739495798319328
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_9,60,159,1,0.01,0.37735849056603776
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_10,12,178,4,0.01,0.06741573033707865
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_11,41,175,9,0.01,0.2342857142857143
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_12,90,179,18,0.01,0.5027932960893855
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_13,122,92,17,0.01,1.326086956521739
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_14,8,42,8,0.01,0.19047619047619047
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_15,53,107,2,0.01,0.4953271028037383
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_16,21,80,10,0.01,0.2625
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_17,18,126,4,0.01,0.14285714285714285
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_18,89,139,16,0.01,0.6402877697841727
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_19,55,84,16,0.01,0.6547619047619048
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_20,6,125,0,0.01,0.048
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_21,167,108,19,0.01,1.5462962962962963
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_22,23,158,3,0.01,0.14556962025316456
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_23,44,63,4,0.01,0.6984126984126984
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_CP_24,12,53,2,0.01,0.22641509433962265
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_1,11,67,3,0.01,0.16417910447761194
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_2,109,135,13,0.01,0.8074074074074075
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_3,53,193,13,0.01,0.27461139896373055
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_4,27,87,6,0.01,0.3103448275862069
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_5,13,164,11,0.01,0.07926829268292683
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_6,10,146,6,0.01,0.0684931506849315
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_7,46,218,11,0.01,0.21100917431192662
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_8,4,127,0,0.01,0.031496062992125984
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_9,9,148,7,0.01,0.060810810810810814
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_10,61,61,4,0.01,1
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_11,6,209,12,0.01,0.028708133971291867
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_12,9,223,2,0.01,0.04035874439461883
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_13,22,153,0,0.01,0.1437908496732026
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_14,18,124,1,0.01,0.14516129032258066
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_15,82,78,0,0.01,1.0512820512820513
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_16,69,125,16,0.01,0.552
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_17,7,87,6,0.01,0.08045977011494253
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_18,20,221,3,0.01,0.09049773755656108
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_19,59,131,5,0.01,0.45038167938931295
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_1,81,165,22,0.01,0.4909090909090909
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_2,5,299,1,0.01,0.016722408026755852
20200715_DT40_RELAGFP_NFKBIA_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_3,6,141,3,0.01,0.0425531914893617
