FILE,CELL,N_Q570,N_Q670,N_GFP,dose,normalized_Q570
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_02_R3D_D3D_Q570_outline.txt,Cell_19,0,61,0,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_1,29,156,7,0.01,0.1858974358974359
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_4,0,173,0,0.01,0
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_5,15,64,16,0.01,0.234375
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_6,3,50,11,0.01,0.06
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_7,39,198,13,0.01,0.19696969696969696
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_8,4,111,7,0.01,0.036036036036036036
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_9,3,91,5,0.01,0.03296703296703297
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_10,6,134,3,0.01,0.04477611940298507
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_11,24,127,11,0.01,0.1889763779527559
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_12,3,166,5,0.01,0.018072289156626505
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_13,38,67,8,0.01,0.5671641791044776
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_14,4,94,3,0.01,0.0425531914893617
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_15,70,188,8,0.01,0.3723404255319149
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_16,34,77,1,0.01,0.44155844155844154
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_17,4,78,8,0.01,0.05128205128205128
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_18,10,113,5,0.01,0.08849557522123894
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_03_R3D_D3D_Q570_outline.txt,Cell_CP_19,19,117,10,0.01,0.1623931623931624
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_1,11,147,9,0.01,0.07482993197278912
20200715_DT40_RELAGFP_CD83_M4_0.01ugml_04_R3D_D3D_Q570_outline.txt,Cell_CP_2,44,182,6,0.01,0.24175824175824176
